Execução,Tempo de Execução (s),Uso de Memória (MB),x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
56,0.012490510940551758,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
57,0.01944279670715332,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
58,0.013081073760986328,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
59,0.01321864128112793,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
60,0.01371002197265625,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
61,0.012846708297729492,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
62,0.01522517204284668,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
63,0.01388859748840332,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
64,0.014453411102294922,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
65,0.013413190841674805,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
66,0.012728214263916016,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
67,0.01356196403503418,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
68,0.016233205795288086,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
69,0.013849258422851562,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
70,0.01624751091003418,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
71,0.012741565704345703,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
72,0.015277624130249023,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
73,0.01737236976623535,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
74,0.016283273696899414,2.25390625,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
75,0.022576332092285156,2.25390625,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
76,0.012990713119506836,2.25390625,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
